,PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags,ID
252,KeAhs,6k1/pp3p2/5n1p/2qp1Bp1/5nb1/2P2N2/PPQN1PPP/6K1 w - - 2 26,f5g4 f4e2 g1f1 f6g4 d2e4 d5e4 c2e2 e4f3,2433,77,98,176,advantage intermezzo kingsideAttack middlegame veryLong,https://lichess.org/XNHUS6Oq#51,,1805626
253,ieVNi,R7/P7/6P1/8/6k1/r2p1p2/3K4/8 b - - 0 49,f3f2 g6g7 f2f1n d2c1,2433,78,100,97,advancedPawn crushing defensiveMove endgame rookEndgame short,https://lichess.org/9OeP1LcA/black#98,,3904009
254,drcnv,1k1r1r2/pp1n2p1/2p3p1/6Pp/3q3P/8/PR2QPB1/1KR5 b - - 1 25,d8c8 c1d1 d4c5 d1d7,2433,78,99,163,advantage middlegame short skewer,https://lichess.org/el0G2JWy/black#50,,3485430
255,L1cWq,3q2k1/6Bp/2r1P1pP/3pKp2/3P1P2/Q7/8/8 b - - 4 45,d8c7 e5d5 c7c8 a3f8 c8f8 g7f8,2433,75,98,68,crushing endgame long,https://lichess.org/qo74nH7B/black#90,,1838418
256,h79Pu,3rk2r/4bppp/p1Q2n2/1pp2q2/5B2/2P5/PP4PP/4RRK1 b k - 3 23,f5d7 e1e7 e8e7 c6c5 e7e8 f1e1,2434,78,100,108,advantage attraction long middlegame pin,https://lichess.org/9FpzomtD/black#46,,3769391
257,eMMrR,1k1r4/p1p3pq/1p6/2p5/2Qn4/8/P4PPP/3R1RK1 w - - 0 22,a2a4 d8h8 h2h3 d4f3 g2f3 h7h3 d1d8 h8d8,2434,78,98,566,advantage deflection endgame quietMove sacrifice veryLong,https://lichess.org/hlKYkp5P#43,,3528617
258,0AW6o,8/1p2r1k1/1R6/p4Rp1/K7/P1P4P/1P2rp2/8 w - - 2 37,b6f6 e2e4 b2b4 e4f4 f5f4 g5f4 f6f4 e7f7 f4f2 f7f2,2434,78,99,195,crushing endgame pin rookEndgame veryLong,https://lichess.org/o08ZESn1#73,,14858
259,0CSrJ,2r2rk1/pb1n2pp/1p2p3/2qp4/3Q1P2/2N1P1PP/PP4B1/2R2RK1 w - - 1 20,c3d5 c5d4 d5e7 g8f7 e3d4 c8c1 f1c1 b7g2,2434,77,99,242,advantage middlegame veryLong,https://lichess.org/veihmQUV#39,,17691
260,MknlU,r4rk1/p3ppb1/2pp2p1/q2N1P1p/2n1P2Q/7R/P1PB2PP/R6K b - - 1 20,c4d2 d5e7 g8h7 h4g5,2434,75,98,528,crushing kingsideAttack middlegame short,https://lichess.org/y8yt4q3n/black#40,,1989994
261,Yj0kg,r4rk1/1pp3p1/p2qR1pp/2pn4/2B5/3P1Q1P/PPP2PP1/R5K1 b - - 0 16,f8f3 e6d6 c7d6 g2f3 g8f8 c4d5,2434,77,99,173,advantage intermezzo long middlegame pin,https://lichess.org/pThHn16m/black#32,Italian_Game Italian_Game_Giuoco_Pianissimo,3035894
262,L2Qgd,r1b1r1k1/p4ppp/3q1n2/2ppn1Q1/8/2PB2NP/PP1N1PP1/R3R1K1 b - - 5 17,e5d3 g3h5 e8e1 a1e1 d6f8 h5f6,2434,79,100,111,advantage long middlegame pin,https://lichess.org/ipHiQPT0/black#34,French_Defense French_Defense_Exchange_Variation,1839562
263,gtsWJ,1n5r/p2k1B1p/2q2pp1/3P4/1B6/8/Q4P1P/3K4 b - - 0 30,c6b6 f7e6 d7c7 b4a5,2435,78,98,97,crushing endgame pin short,https://lichess.org/8aM5pLsy/black#60,,3750711
264,KSLVt,8/8/5p2/4k1p1/4P3/3r1KP1/4R3/8 w - - 3 40,e2e3 e5d4 e3d3 d4d3 g3g4 d3d4,2435,79,99,115,crushing endgame long rookEndgame,https://lichess.org/N5ms8B6i#79,,1789055
265,kpx4L,2R5/4kp2/2p5/3pP1B1/3q4/6p1/2B5/2K5 b - - 1 36,f7f6 g5f6 e7e6 c8c6 e6d7 e5e6 d7c6 f6d4,2435,80,100,54,crushing discoveredAttack endgame veryLong,https://lichess.org/luOJ8Sxj/black#72,,4096069
266,rf4h5,2r2r2/3bk3/4pnQ1/2qp4/1p3NP1/1P3P2/1PP5/2KR3R b - - 0 29,f6e4 h1h7 e7d8 h7d7 d8d7 g6e6 d7c7 f4d5,2435,79,100,227,advantage attraction middlegame veryLong,https://lichess.org/yaFbgjKV/black#58,,4693376
267,mETTv,3r1r1k/4Nppp/3RnQ2/6P1/p1b1P3/2B2N1P/qPP2P2/2K3R1 w - - 3 27,e7f5 d8d6 f5d6 g7f6,2435,76,100,77,advantage middlegame short,https://lichess.org/n5ajDCkF#53,,4218476
268,024N7,8/p3k1p1/1p2pP1p/1Pb1P1P1/P1K1B2P/8/8/8 b - - 0 41,g7f6 g5h6 e7f7 h6h7 f7g7 e5f6,2435,76,99,118,advancedPawn bishopEndgame crushing endgame long,https://lichess.org/gLaAz1rk/black#82,,2878
269,zsXNK,4r1k1/4Pbpp/pq6/2r2p2/2P2Q1R/8/5PPP/4R1K1 b - - 1 34,g7g6 f4h6 e8e7 h6h7 g8f8 h7h6 f8e8 h6h8,2435,77,98,203,advantage middlegame veryLong,https://lichess.org/8V4uQP77/black#68,,5413049
270,0BatK,Q7/8/8/3P4/PN6/2P3kP/4K1b1/5q2 w - - 0 50,e2e3 f1f2 e3d3 g2f1 d3e4 f2f4,2435,80,98,477,endgame exposedKing long mate mateIn3,https://lichess.org/s3qPIwQp#99,,16410
271,jxeL8,2rr2k1/4bp2/2q1pnB1/p2p3p/2nP1P1P/2P3N1/P1Q3P1/R1B1R1K1 b - - 0 24,f7g6 c2g6 g8h8 g3f5 d8g8 g6h6,2436,80,98,215,advantage kingsideAttack long master middlegame,https://lichess.org/jlafWqXn/black#48,,4018976
272,XCYlS,8/b7/6K1/P4p2/2p1k3/2B1P3/8/8 w - - 0 58,c3d4 f5f4 d4a7 f4f3 a5a6 f3f2,2436,79,98,226,advancedPawn bishopEndgame crushing endgame long sacrifice,https://lichess.org/McnmBWPr#115,,2902598
273,c9yV9,8/1p4p1/1p3p1p/6kP/1PP5/5K2/P7/8 b - - 0 44,g5h5 a2a4 h5g5 c4c5 g5f5 c5c6 b7c6 a4a5 f5e5 a5a6 e5d6 a6a7,2436,80,98,145,advancedPawn crushing endgame pawnEndgame quietMove veryLong,https://lichess.org/WkldoQBW/black#88,,3336210
274,E99Zu,2krr3/Qpp2p2/7p/8/4bqpN/2N5/PP3PP1/1K1R1B1R w - - 3 22,c3e4 d8d1 b1c2 f4e4,2436,79,98,502,advantage hangingPiece intermezzo middlegame queensideAttack short,https://lichess.org/ws1NtG7K#43,,1237403
275,4Zw3w,r2q1rk1/1Qb3pp/8/p3P3/3P3n/P1P3P1/6KP/RNB1R3 w - - 1 32,g3h4 d8h4 c1f4 h4e1 b1d2 e1a1,2436,76,99,148,advantage long middlegame,https://lichess.org/RK7CdsH2#63,,400697
