,PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags,ID
0,CYJP7,r6k/ppp2Bpp/8/2b2r2/4nBb1/8/PPP3PP/R2N1R1K w - - 3 17,f7e6 e4g3 h2g3 f5h5,1800,75,100,176,kingsideAttack mate mateIn2 middlegame sacrifice short,https://lichess.org/8vU23po9#33,Kings_Gambit_Declined Kings_Gambit_Declined_Classical,1098361
1,ABMro,8/6pk/8/1P6/K7/3pq3/7Q/8 b - - 2 69,e3h6 h2h6 g7h6 a4b3 h6h5 b5b6 d3d2 b3c2 h5h4 b6b7 h4h3 b7b8q d2d1q c2d1,1800,74,100,630,advancedPawn crushing endgame promotion queenEndgame veryLong,https://lichess.org/JXBxnSZX/black#138,,891324
2,4etJn,8/pNqk4/Qp2R2p/2p2PpP/3p1p2/P2P1Kr1/1PP5/8 w - - 5 40,f3e4 g3e3 e4d5 e3e6 f5e6 d7e7 a6a7 f4f3 a7a8 f3f2,1800,75,100,178,advancedPawn crushing endgame veryLong,https://lichess.org/5N0efC6I#79,,407786
3,mD3mL,1b4k1/p4p1p/1p2p3/4q1P1/2Qn4/1P2P2P/P5P1/2B3K1 w - - 2 26,e3d4 e5e1 c4f1 b8h2 g1h2 e1f1,1800,75,100,307,clearance crushing deflection endgame long,https://lichess.org/6ZiKRB69#51,,4216556
4,GAPdS,8/8/5p1p/2k2PP1/4K2P/2b5/8/8 b - - 0 54,h6g5 h4h5 g5g4 h5h6 g4g3 e4f3,1800,75,100,78,bishopEndgame crushing endgame long quietMove,https://lichess.org/ZOxjREY0/black#108,,1414213
5,FItH3,8/1p6/p3kp1p/1PP2p2/P1r5/1R4P1/5PP1/6K1 b - - 0 46,c4a4 c5c6 b7c6 b5b6 a4d4 b6b7,1800,74,100,215,advancedPawn crushing endgame long rookEndgame,https://lichess.org/PuRMj9Sk/black#92,,1338569
6,mQMUY,6k1/pQ4pp/5q2/5p2/3r4/1P6/P4PPP/R5K1 w - - 1 27,b7a7 d4d7 a7a8 d7d8 a8d8 f6d8,1800,75,100,826,advantage defensiveMove endgame long,https://lichess.org/eb2l427U#53,,4235068
7,mcsjA,4rr2/2p5/p2p1q1p/1pkP3R/PR4p1/2PQ1P2/6P1/6K1 b - - 0 32,g4g3 b4b5 a6b5 d3b5,1800,75,100,269,endgame mate mateIn2 sacrifice short,https://lichess.org/EJeih5Vg/black#64,,4252790
8,2nxih,8/5K2/4PP2/2kbq3/8/8/8/6Q1 b - - 4 62,c5d6 g1b6 d5c6 b6b8 d6d5 b8e5,1800,74,100,151,crushing endgame exposedKing long,https://lichess.org/lBVwVPXy/black#124,,245328
9,4TWMb,8/2p1q2k/1p1p2p1/3P3p/3QPR2/6P1/6KP/4r3 b - - 2 41,b6b5 d4f2 e1e4 f4f7 h7g8 f7e7,1800,75,100,251,advantage endgame fork long,https://lichess.org/ytRmqiq0/black#82,,391899
