,PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags,ID
0,JWr0b,4r3/1p4kp/1pp3p1/1q1n1p2/3b4/1B3QBP/1P1R1PPK/8 b - - 5 30,e8e4 d2d4 e4d4 g3e5 g7f7 e5d4,1500,74,100,395,advantage attraction fork long middlegame sacrifice,https://lichess.org/dbq3y5Km/black#60,,1708242
1,duYQo,8/pp3k1p/3p4/1NPPqPp1/1P2n3/8/P6P/4Q1K1 b - - 0 37,e5f5 e1e4 f5e4 b5d6 f7f6 d6e4,1500,74,100,728,attraction capturingDefender crushing endgame exposedKing fork long sacrifice,https://lichess.org/NTFwJmT0/black#74,,3489567
2,e5p5X,4r2r/pk6/1n1pq3/1Q3n1p/6pP/2PN2P1/PP6/2KRR3 b - - 3 26,e6d7 d3c5 d6c5 d1d7,1500,74,100,1042,crushing discoveredAttack middlegame pin short,https://lichess.org/oMp0VBJ6/black#52,,3505336
3,6A2Zi,8/8/5pKb/7B/8/4p1k1/8/8 w - - 0 61,g6h6 f6f5 h6g5 f5f4 h5d1 f4f3,1500,74,100,170,bishopEndgame crushing endgame long quietMove,https://lichess.org/hxLHYgR3#121,,539555
4,VZ4bo,5r2/2pQ1pkp/5Rp1/1p2q1P1/4PR2/1PP2PKP/1r6/8 w - - 4 38,d7d4 e5g5 f4g4 g5f6 d4f6 g7f6,1500,74,100,389,crushing deflection endgame long,https://lichess.org/G8Yq4fmf#75,,2759940
5,pxYgX,8/Q2n3p/1p1q1ppk/3p4/3p2NP/1P4P1/1KP2P2/8 b - - 0 29,h6h5 a7d7 d6d7 g4f6 h5h6 f6d7,1500,74,100,983,attraction capturingDefender crushing deflection endgame fork long sacrifice,https://lichess.org/SiMgcyqP/black#58,,4544438
6,U4tNt,r2qk2r/pbpp1ppp/1p2pn2/6B1/QbPnP3/2NB4/PP3PPP/R3K1NR b KQkq - 1 8,h7h6 g5f6 d8f6 a4b4,1500,74,100,523,advantage opening short,https://lichess.org/IZtLPtjS/black#16,Owen_Defense Owen_Defense_Other_variations,2630740
7,Yt2U4,1R6/6k1/1p3rp1/2b5/p5P1/7P/1B4K1/8 b - - 4 46,a4a3 b8b7 g7g8 b2f6,1501,74,100,345,crushing endgame pin short,https://lichess.org/0ZaKV26F/black#92,,3049887
8,zBrPr,8/p4pk1/5bp1/7p/2pP1P1P/2Bq1QP1/1P4K1/8 b - - 2 37,f6d4 f3d3 c4d3 c3d4,1501,74,100,389,capturingDefender crushing endgame intermezzo short,https://lichess.org/NdvVxRj7/black#74,,5352909
9,rDPqT,r3k2r/1p2bpp1/pqn1pnp1/3p4/3P4/P1N1B2P/1PP1BPP1/R2Q1RK1 b kq - 5 13,b6b2 c3a4 b2a1 d1a1,1501,74,100,415,advantage middlegame short trappedPiece,https://lichess.org/6AgstW9j/black#26,Caro-Kann_Defense Caro-Kann_Defense_Other_variations,4654298
10,HxTuf,rn3rk1/3bqpbp/3p1np1/p3p1N1/4P2Q/2NP4/PPP2PPP/R1B2RK1 b - - 4 13,b8c6 c3d5 h7h6 d5e7,1502,74,100,255,advantage kingsideAttack middlegame short,https://lichess.org/mZml3gsj/black#26,Vienna_Game Vienna_Game_Other_variations,1570481
11,GSpZ9,r5k1/p1n1ppbp/3p2p1/n7/4PB2/q1NR1Q1P/P4PP1/6K1 b - - 1 19,a8c8 c3d5 c7d5 d3a3,1502,74,100,305,advantage discoveredAttack master middlegame short,https://lichess.org/jyTjdpKH/black#38,,1440201
12,xq1Wc,4r2k/5Rp1/1p1r3p/p1p5/2P3qP/1P4P1/P1Q2R1K/8 b - - 3 34,g4e4 f7f8 h8h7 f8e8 e4c2 f2c2,1502,74,100,501,crushing endgame long pin,https://lichess.org/pSLqNEzW/black#68,,5234421
13,rhxYT,8/R5K1/2k3P1/3pBq2/3P4/8/p7/8 b - - 7 70,f5d7 a7d7 c6d7 g7f7 a2a1q g6g7 a1f1 e5f6 d7c6 g7g8q,1502,74,100,1005,advancedPawn crushing endgame promotion veryLong,https://lichess.org/FUOTTRK8/black#140,,4697490
14,VAzPh,8/8/4p2R/4k2B/7P/4n1PK/5r2/8 w - - 0 51,h5g4 f2h2 h3h2 e3g4 h2g2 g4h6,1502,74,100,643,attraction crushing deflection endgame fork long master masterVsMaster sacrifice,https://lichess.org/fdnzWHwC#101,,2726054
15,9iZR0,1rb2rk1/p1q2pp1/2pb4/8/2B1PB1p/2N2PP1/PP2Q1Kn/R4R2 w - - 2 20,g2h2 h4g3 h2g2 d6f4,1502,74,100,791,advantage master middlegame short,https://lichess.org/pZSrRhd2#39,,850667
16,v2XM7,8/p7/1p2r1k1/7p/3p1B1b/3P3P/PP3RP1/5K2 w - - 5 36,f2e2 e6f6 f1g1 f6f4,1502,74,100,745,advantage endgame master pin short,https://lichess.org/EFPBABww#71,,4989455
17,3R5Tx,5r2/3R1pkp/p1p2bp1/8/2B5/1P3QP1/P4P1q/1K6 b - - 7 40,h2g1 d7d1 g1h2 d1h1 h2h1 f3h1,1502,74,100,331,advantage defensiveMove endgame long trappedPiece,https://lichess.org/ib8ohuaA/black#80,,300696
18,tJFQX,6k1/1b1q1p2/7p/2Q1p1p1/2B1P3/p4P1P/P5P1/6K1 w - - 0 32,c5a3 d7d4 g1h2 d4c4,1502,74,100,515,advantage endgame fork short,https://lichess.org/XLtH6biQ#63,,4838162
19,mbTWZ,4R3/pR5k/2p5/6pN/1pb3P1/7P/Pr3r2/6K1 b - - 3 30,h7g6 b7g7 g6h6 e8h8,1503,74,100,1219,endgame mate mateIn2 short,https://lichess.org/BpfM8yDn/black#60,,4250814
20,lUEM9,6k1/pp3ppp/3P4/8/5P2/Pb2r3/6PP/2R4K b - - 1 27,g7g6 d6d7 e3d3 c1c8,1503,74,100,803,advancedPawn advantage endgame short,https://lichess.org/AppSNj4l/black#54,,4152911
21,45E5s,1r4k1/4qppp/5r2/p1p1p3/PpNbP1PP/1P4Q1/2P2P2/2KR3R b - - 2 25,f6f2 d1d4 c5d4 g3f2,1503,74,100,401,advantage capturingDefender intermezzo master middlegame short,https://lichess.org/nr6BjZaM/black#50,,357577
22,JaCNC,5rrk/5p1p/pn3PpQ/2p3P1/4R3/7P/1p4B1/2q2R1K b - - 1 36,b2b1q h6h7 h8h7 e4h4,1503,74,100,263,attraction mate mateIn2 middlegame sacrifice short,https://lichess.org/E834G1e4/black#72,,1712894
23,IyEyl,3q2k1/5p1p/4r2P/3N2Pp/3QPp2/3B4/P1P1K3/1r6 b - - 3 28,e6g6 d5f6 d8f6 g5f6 g6g2 e2f3,1503,74,100,1133,crushing endgame long,https://lichess.org/ZMYRw4tK/black#56,,1659258
24,QMogL,1r3r2/5kp1/4p3/p2p4/P3qp2/5N1Q/5P2/R5RK w - - 4 36,h3g2 f8h8 f3h2 h8h2 h1h2 b8h8,1503,74,100,1281,attraction crushing exposedKing long middlegame pin sacrifice,https://lichess.org/XT20gmo1#71,,2305629
25,k7Tqk,6k1/8/4p1pp/N1P1Pp2/5P2/p5nP/8/2K5 b - - 0 36,g3e4 c5c6 a3a2 c1b2 e4c5 c6c7,1504,74,100,773,advancedPawn crushing endgame knightEndgame long,https://lichess.org/FaQyC5aW/black#72,,4032899
26,pbJex,2r1kb2/pp3ppr/q3pn2/1N1p1b2/2PQ4/5N2/PP1B1PPP/R4RK1 b - - 7 14,c8c4 d4c4 d5c4 b5c7 e8d7 c7a6,1504,74,100,1256,advantage fork long middlegame sacrifice,https://lichess.org/89E5voKI/black#28,Mieses_Opening Mieses_Opening_Other_variations,4513290
27,4Aio6,4R3/5pkp/r2p2p1/2qP4/1pP5/1Q3P2/rP1R2PP/1K6 w - - 3 26,b3a2 c5g1 b1c2 a6a2,1504,74,100,235,advantage endgame short,https://lichess.org/LRZqmDQD#51,,365431
28,iJvII,2k5/5p2/3Bp1pb/pp2P2p/1P2KP1P/P5P1/8/8 b - - 0 43,a5a4 e4d4 c8d7 d4c5,1504,74,100,299,bishopEndgame crushing endgame short,https://lichess.org/hLq3MTUQ/black#86,,3875199
29,Ondnf,r5k1/p2p2N1/5r1p/2pP4/1p5P/4Q3/qPP3P1/2KR3R w - - 0 23,h1f1 f6f1 d1f1 a2a1 c1d2 a1f1,1504,74,100,665,advantage long middlegame skewer,https://lichess.org/DHTNphXF#45,,2168894
30,Byoxy,7k/p5p1/1p2Q2p/2p2p2/2P2q2/1P3nNP/P4P2/7K w - - 2 35,e6f5 f4c1 h1g2 f3h4 g2h2 h4f5,1504,74,100,148,crushing endgame exposedKing fork long,https://lichess.org/DTjWV0Pf#69,,1048263
31,tWtZw,4Q3/4ppkp/3pN1p1/2pPn3/3bP3/r5PK/1r5P/5R2 b - - 9 33,f7e6 e8f8,1504,74,100,692,endgame master mate mateIn1 oneMove,https://lichess.org/m9xpdfYn/black#66,,4857508
32,TMFRi,2k1r3/1p1R4/1Bp1P2p/5pp1/5P2/1P1K4/2Q4P/5q2 w - - 5 37,c2e2 f1e2 d3e2 e8e6 e2f2 c8d7,1504,74,100,255,attraction crushing endgame exposedKing long,https://lichess.org/NHR8ruxk#73,,2567671
33,ePtsm,r4rk1/1pq2p1p/pnpb1p2/3p1b2/3P4/PBN1P3/1P2NPPP/2RQK2R w K - 0 14,c3d5 b6d5 b3d5 c7a5 e2c3 c6d5,1505,74,100,288,advantage fork intermezzo long middlegame,https://lichess.org/dX8StRBL#27,Queens_Gambit_Declined Queens_Gambit_Declined_Modern_Variation,3533536
34,F1en9,8/6p1/4rpk1/8/5KP1/2R3P1/8/8 w - - 12 63,c3e3 e6e3 f4e3 g6g5 e3f3 g7g6 f3g2 g5g4,1505,74,100,785,crushing endgame quietMove rookEndgame veryLong zugzwang,https://lichess.org/EbbRIpvt#125,,1314092
35,ho9fk,2kr3r/p1R3pp/P2pq3/1N6/1P6/2PP4/4b1P1/R6K b - - 2 28,c8b8 c7b7 b8c8 b5a7,1505,74,100,470,deflection mate mateIn2 middlegame queensideAttack short,https://lichess.org/q0dkOYVR/black#56,,3829983
36,5wGLI,2r2rk1/1Q3Rp1/p5qp/1p6/3P4/7P/1P4P1/5RK1 b - - 0 31,c8e8 f7f8 e8f8 b7d5,1505,74,100,235,crushing endgame short,https://lichess.org/mT1mnQLG/black#62,,519770
37,auaul,r4r2/ppp4k/6p1/4Pq1p/3Pp2P/1PP5/P3Q1P1/R3R1K1 w - - 0 33,e2e4 f5f2 g1h2 f8f4 e4f4 f2f4,1506,74,100,406,advantage clearance endgame kingsideAttack long,https://lichess.org/4VOOTkGq#65,,3226946
38,qO888,8/2B2n2/pK2k3/8/7p/1P6/P7/8 w - - 4 48,b6c6 f7e5 c6c5 h4h3,1506,74,100,554,crushing endgame short,https://lichess.org/NU2V5mp7#95,,4581668
39,rB4re,5rk1/8/p1p1pr1p/6p1/1P1p1P2/P5PP/3R1RK1/8 w - - 0 36,f4g5 f6f2 d2f2 f8f2 g2f2 h6g5,1506,74,100,381,crushing endgame long rookEndgame,https://lichess.org/Jw2RddbZ#71,,4650871
40,re4Io,r3r3/4qkn1/8/p1p3R1/1pP3pQ/5b2/PP5P/K1R5 b - - 7 34,e8h8 g5g7 f7g7 h4e7,1506,74,100,1801,advantage attraction deflection discoveredAttack middlegame short,https://lichess.org/dP2Qz88m/black#68,,4691965
41,LficS,8/3K2Q1/8/3k3p/p6P/P7/8/2q5 w - - 4 52,g7g5 c1g5 h4g5 d5e5 g5g6 e5f6,1506,74,100,807,crushing endgame long queenEndgame,https://lichess.org/h5l8AcHC#103,,1895036
