,PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags,ID
0,aQraf,2Q3k1/6pp/5r2/8/1p1P4/4BnP1/6KP/4qB2 b - - 3 31,f6f8 f1c4 g8h8 c8f8,1200,74,100,239,deflection endgame mate mateIn2 short,https://lichess.org/PvkBvBOJ/black#62,,3185114
1,Vscyt,5rk1/2R2pp1/3Q3p/4P3/2bP4/3qbP1P/5BP1/5RK1 w - - 1 34,f1e1 e3f2 g1f2 d3d2 f2g1 d2e1,1200,74,100,635,advantage attraction deflection long middlegame,https://lichess.org/XVy5OPvi#67,,2787347
2,UyFkt,2rqk2r/3b1ppp/1p2p3/p2p4/1b1n4/8/PQ1BPPPP/2R1KBNR w Kk - 0 14,b2d4 c8c1,1200,74,100,597,mate mateIn1 oneMove opening pin,https://lichess.org/AFi9Oybk#27,Indian_Defense Indian_Defense_Other_variations,2708162
3,lZUsX,r3br1k/p1p1n2P/np1p4/1N2p1q1/2P1Pp2/2BP1B2/PP1Q2PR/R3K3 w Q - 0 23,d3d4 g5g3 d2f2 g3h2,1200,74,100,480,advantage fork middlegame short,https://lichess.org/cx8SJNyR#45,,4160282
4,c49VM,8/1p1q2k1/p1p1r1p1/2P1P2p/PP2KQ1P/6P1/8/4R3 w - - 8 36,e1f1 d7d5 e4e3 e6e5 f4e5 d5e5,1200,74,100,521,crushing deflection endgame long,https://lichess.org/2CR8FieM#71,,3327985
5,cEYwR,5r1k/6p1/5q2/p1p3p1/P3Q3/3P4/1P4PP/4R2K w - - 2 33,h1g1 f6f2 g1h1 f2f1 e1f1 f8f1,1200,74,100,175,backRankMate endgame long mate mateIn3 sacrifice,https://lichess.org/HFocpXfc#65,,3342694
6,Jobyt,r2qr2k/ppp2p1b/3p3B/2b4P/6Q1/3p2R1/PP3PP1/2KR4 b - - 1 20,e8g8 h6g7 g8g7 g4g7,1200,74,100,96,kingsideAttack mate mateIn2 middlegame short,https://lichess.org/1LDX0hSp/black#40,,1733053
7,SEcGv,r2qkb1r/pp3pp1/2b2n1p/2p1p3/4P3/3P1N2/PPP3PP/RNB1QRK1 w kq - 0 10,f3e5 d8d4 c1e3 d4e5,1200,74,100,603,advantage fork opening short,https://lichess.org/rzmHgFjJ#19,Sicilian_Defense Sicilian_Defense_McDonnell_Attack,2469573
8,TvDyk,1r6/3kp3/3pN3/5P2/4PK2/1q6/3Q4/8 b - - 8 57,b8b4 e6c5 d7c8 c5b3,1200,74,100,591,crushing endgame pin short,https://lichess.org/i1XOnHgt/black#114,,2617228
9,XCbsQ,r1br4/pp4k1/3p1qp1/5p2/3Q2R1/2N1P3/PPP5/2K4R b - - 0 24,f5g4 h1h7 g7h7 d4f6,1201,74,100,405,advantage deflection middlegame short,https://lichess.org/tHzkqKks/black#48,,2902670
10,qEkEa,r3k3/1q3p1r/p2RpQ2/1p1b4/4p1p1/6P1/PPP2PB1/4R1K1 w q - 2 23,g2e4 d5e4 d6e6 f7e6,1201,74,100,362,advantage middlegame short,https://lichess.org/zbBs62E3#45,,4568293
11,BAazk,7r/k3q3/1pQ1prp1/pP3n2/P4P1p/8/6PP/3R1R1K b - - 0 33,e7c5 d1d7 a7b8 c6b7,1201,74,100,188,mate mateIn2 middlegame short,https://lichess.org/KyApmPoG/black#66,,977479
12,IlM3S,r4r1k/1p3qp1/2n2p1p/p7/P6R/2N5/1PPQ1PP1/2K4R b - - 2 23,a8d8 h4h6 g7h6 d2h6 f7h7 h6h7,1201,74,100,534,kingsideAttack long mate mateIn3 middlegame sacrifice,https://lichess.org/vIQ9B7ys/black#46,,1641280
13,Vjf42,r1b2rk1/pp4pp/3bq3/3p4/4NPn1/1B2B3/PP4PP/R2Q1RK1 b - - 0 16,e6e4 b3d5 c8e6 d5e4,1201,74,100,480,advantage fork middlegame short,https://lichess.org/qLLFHE5n/black#32,Ruy_Lopez Ruy_Lopez_Schliemann_Defense,2774890
14,6tu97,4k3/8/R6p/3n1P2/6K1/2n4P/8/8 b - - 0 66,c3e4 a6e6 e8f8 e6e4,1201,74,100,505,crushing endgame fork short,https://lichess.org/w9rxf5mw/black#132,,604406
15,2tJkM,r3r1k1/pp1b1pp1/2p1p1n1/6NQ/3P2P1/2P1q3/PP5P/R4R1K b - - 3 20,c6c5 h5h7 g8f8 f1f7,1201,74,100,433,kingsideAttack mate mateIn2 middlegame short,https://lichess.org/bVONKla8/black#40,,252882
16,SA9jG,4r3/ppp2kn1/3P1r2/2q5/2B3Q1/2P3P1/P5PP/4R2K b - - 0 29,f7f8 e1e8 g7e8 g4g8,1202,74,100,270,mate mateIn2 middlegame short,https://lichess.org/u6HG9CpX/black#58,,2463147
17,RlkIi,2r5/p7/1p3r1k/3Q1p1p/4pR1P/1B2P2R/PPP3q1/1K6 w - - 0 30,d5e5 g2g1 f4f1 g1f1,1202,74,100,107,mate mateIn2 middlegame short,https://lichess.org/L7SWtzkV#59,,2428562
18,LfrVM,r2q1rk1/1pp1bppp/3p1nb1/p7/5BP1/2P2N1P/PPPQ1P2/1K1R1B1R w - - 1 13,f3h4 f6e4 h4g6 e4d2,1202,74,100,303,advantage opening queensideAttack short,https://lichess.org/AKwK9v89#25,Petrovs_Defense Petrovs_Defense_Nimzowitsch_Attack,1895228
19,uXaaI,1k6/4Q2p/p1pr2p1/2q5/P1p5/1P6/2P2PPP/2K1R3 w - - 1 23,e1e5 c5a3 c1b1 d6d1,1202,74,100,126,endgame mate mateIn2 short,https://lichess.org/bnfHVTht#45,,4946154
20,Tpnno,2kr3r/pp2R1b1/3p2p1/2pP3p/8/2P4P/P1P2PP1/1R4K1 b - - 0 19,d8d7 e7d7 c8d7 b1b7 d7c8 b7g7,1202,74,100,539,advantage attraction capturingDefender endgame long queensideAttack skewer,https://lichess.org/YXQ8IkkT/black#38,,2609581
21,3ML5S,4r1k1/2R4p/6pP/6P1/p4R2/8/r7/3K4 b - - 9 40,e8f8 c7g7 g8h8 f4f8,1202,74,100,363,deflection endgame master mate mateIn2 rookEndgame short,https://lichess.org/GfdlafiL/black#80,,293942
22,EqupW,1r1q1r1k/1b4B1/p1np1bQ1/P2B1P2/3p4/3P3P/1P4P1/RN2R1K1 b - - 0 26,f6g7 g6h5 g7h6 h5h6,1202,74,100,426,kingsideAttack mate mateIn2 middlegame short,https://lichess.org/vLq8j4Vc/black#52,,1299045
23,9Hz6F,5rk1/1pp4p/p1n2np1/2B2p2/8/P1N5/1P3PPP/3R2K1 b - - 0 20,f8d8 d1d8 c6d8 c5e7 d8c6 e7f6,1202,74,100,268,advantage endgame fork long,https://lichess.org/wraRfiTw/black#40,,813129
24,cyHMy,6k1/5p1p/2p2p2/p7/P1KP4/R2P4/2r1rPPP/5R2 w - - 2 25,c4b3 c2b2 b3c4 e2c2 a3c3 b2b4 c4c5 c2c3,1202,74,100,1256,crushing deflection endgame rookEndgame veryLong,https://lichess.org/BXpFzZtb#49,,3407114
