,PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags,ID
0,jPGwU,r1b4r/pp1k2pp/2nb4/3Np1B1/8/3P4/PPP2PPP/R4RK1 b - - 2 15,a7a5 d5b6 d7e8 b6a8,901,74,98,3520,advantage fork middlegame short,https://lichess.org/q9pC2TjH/black#30,Philidor_Defense Philidor_Defense_Other_variations,3970494
1,wRzIf,1r5r/k2q3p/p2p4/1ppN1p2/8/P4Q2/1P3PPP/4R1K1 b - - 4 27,d7f7 e1e7 f7e7 d5e7,905,74,99,3325,advantage endgame fork short,https://lichess.org/IwSzpF8h/black#54,,5112825
2,1zPJD,r4rk1/pbp1bppp/1p2pn2/3q2N1/3PN2P/3Q4/PPP2PP1/2KR1B1R b - - 3 12,d5a2 e4f6 g7f6 d3h7,919,74,100,476,discoveredAttack kingsideAttack mate mateIn2 middlegame short,https://lichess.org/EBKew1SI/black#24,French_Defense French_Defense_Burn_Variation,174459
3,A3G7p,r1bq1rk1/p1p1b1pp/1p3n2/4p3/4Np2/1PNP1Q2/1PP2PPP/R1B2RK1 b - - 1 14,c8g4 e4f6 g7f6 f3g4,921,74,98,4388,crushing kingsideAttack opening short,https://lichess.org/TflnRUye/black#28,Italian_Game Italian_Game_Two_Knights_Defense,879848
4,xm1Cm,7k/pppq2p1/3p3p/6r1/P4NP1/1PP1Q3/6KN/8 b - - 0 36,g5e5 f4g6 h8g8 g6e5,926,74,98,3255,advantage endgame fork short,https://lichess.org/tTbyWdXK/black#72,,5228632
5,JM1NO,r2q1r2/1bp1npkp/pp1pp1p1/8/3PP1N1/2NP3P/PP1Q1PP1/R4RK1 b - - 1 14,f8h8 d2h6 g7g8 g4f6,929,74,98,2091,mate mateIn2 middlegame short,https://lichess.org/6bA0St5q/black#28,French_Defense French_Defense_Normal_Variation,1692958
6,tB0cP,r1b1k3/6pp/p1pb2q1/1p6/3Q4/3P1N2/PPP2PPP/4R1K1 b - - 1 20,e8d7 f3e5 d7c7 e5g6,932,74,98,2979,crushing fork middlegame short,https://lichess.org/PzKeAZn9/black#40,,4826365
7,G9w3Z,5k2/p5p1/1pB5/6p1/P2r1n2/5P2/6PP/1R4K1 w - - 2 37,b1b2 d4d1 g1f2 f4d3 f2e3 d3b2,936,74,100,291,crushing endgame fork long,https://lichess.org/2Ao3s7xT#73,,1413508
8,Kc55M,2r3k1/1Q3ppp/p7/1pq1pR2/8/P1P4P/1P4P1/7K b - - 0 34,c5c6 b7f7 g8h8 f7f8 c8f8 f5f8,936,74,98,3505,backRankMate endgame long mate mateIn3 sacrifice,https://lichess.org/GPjsYfx2/black#68,,1802634
9,VVdwt,b6r/4Rpk1/p4p2/1p1pr3/2nN4/P1P4P/BP3PP1/1R3K2 w - - 21 35,e7a7 c4d2 f1g1 d2b1,937,73,97,2292,advantage fork middlegame short,https://lichess.org/FUks0PrQ#69,,2755134
10,wSJkG,6k1/p1p3p1/2pr3p/5R1P/P2q1Q2/1P6/5PPK/8 b - - 2 36,c6c5 f5f8 g8h7 f4f5,939,74,100,396,crushing endgame master short,https://lichess.org/krvSRZL0/black#72,,5113252
11,oirNW,r3r1k1/pR4pp/2pBq3/3p4/3P4/5Q2/P1b1B1PP/6K1 b - - 0 22,e6d6 f3f7 g8h8 f7g7,942,74,99,2478,mate mateIn2 middlegame short,https://lichess.org/TIPv0Zwd/black#44,,4435993
12,zqG0C,5rk1/5p1p/5P2/p1pQ3p/4p3/4K2P/6q1/5R2 b - - 0 37,g2f1 d5g5 g8h8 g5g7,942,74,99,2715,endgame mate mateIn2 short,https://lichess.org/1TuZJNqR/black#74,,5409805
13,yK3rR,r3qr1k/4b3/1n2pBQ1/pP1p2N1/3P4/2P5/5PPP/RR4K1 b - - 0 26,f8f6 g6h7,946,74,100,531,mate mateIn1 middlegame oneMove,https://lichess.org/TiTs2bDR/black#52,,5276826
14,eSgyN,r1b1k2r/pppn1ppp/8/2q5/Q2p4/2P3P1/P3PPBP/R3K1NR w KQkq - 0 11,c3d4 c5c3 e1d1 c3a1,947,74,97,3440,crushing fork middlegame short,https://lichess.org/G7f596JP#21,English_Opening English_Opening_Kings_English_Variation,3537479
15,BRhxB,2k2b1N/ppp3pp/4p3/7P/4qPP1/P4R2/1P1B4/R3K3 w Q - 1 28,f3e3 e4h1 e1e2 h1a1,948,74,99,959,crushing endgame short skewer,https://lichess.org/euK6uPE9#55,,1001759
16,7GPM1,6k1/p3b2p/1p2P1p1/5p2/5B1P/4R1Q1/1P3PPK/2qr4 w - - 2 28,g3f3 d1h1 h2g3 e7h4,951,74,98,3882,endgame mate mateIn2 short,https://lichess.org/dnDPFvHA#55,,635956
17,OkU2C,r3kb1r/ppp2ppp/1nn5/4Pq2/5P2/1BP4P/PP2QP2/RNB1K2R w KQkq - 1 13,e2g4 f5e4 g4e2 e4h1,953,74,96,3677,crushing fork middlegame short,https://lichess.org/EuqDfxfJ#25,Italian_Game Italian_Game_Other_variations,2164455
18,JugjU,r3k2r/1p3p2/p7/n1q1pp1p/8/P3PN2/bPP1QPPP/2KR1B1R w kq - 4 16,e2d2 a5b3,954,74,100,265,mate mateIn1 middlegame oneMove pin,https://lichess.org/ZOqjeCTU#31,Rapport-Jobava_System Rapport-Jobava_System_Other_variations,1741613
19,cwdL2,8/P2PR1b1/6k1/2p3pp/2B3K1/1P4P1/3r4/8 w - - 0 52,g4h3 g5g4 h3h4 d2h2,954,74,98,2113,endgame mate mateIn2 short,https://lichess.org/sEIFHvi0#103,,3404827
20,4uwIx,r1b1k2r/1ppp1ppp/p7/8/1PP1P3/P3qN2/2Q3PP/R3KB1R w KQkq - 1 16,c2e2 e3c3 e1f2 c3a1,955,74,96,4497,advantage fork middlegame short,https://lichess.org/yi7LALt3#31,English_Opening English_Opening_Four_Knights_System,430336
21,ue7MW,4r1k1/pQ3ppp/2p5/2PpN3/3q3b/6PP/P5K1/5R2 b - - 1 35,d4e5 b7f7 g8h8 f7f8 e8f8 f1f8,955,74,97,3684,backRankMate endgame long mate mateIn3 sacrifice,https://lichess.org/rpb4ZiZD/black#70,,4955210
22,2vusF,6R1/4r2p/R1pk1p2/p2p4/3P4/5p2/PPP5/2K5 w - - 0 32,g8g1 f3f2 g1f1 e7e1 c1d2 e1f1,960,74,98,3738,advancedPawn crushing endgame long rookEndgame,https://lichess.org/dNynRN7n#63,,256558
23,11QKG,r4r2/1p1q2pk/p1p1p1P1/P2nQ2n/3P4/6RP/5P2/R5K1 b - - 0 27,h7h8 e5h5 h8g8 h5h7,960,74,97,2845,hangingPiece kingsideAttack mate mateIn2 middlegame short,https://lichess.org/XaPsQF2Q/black#54,,89326
24,RQYAw,6k1/6p1/3qp2r/3Nn3/1p2p3/1Q2P1P1/P4P2/3R1RK1 w - - 1 30,d5f4 e5f3 g1g2 h6h2,961,74,99,3926,hookMate mate mateIn2 middlegame short,https://lichess.org/onecM1L6#59,,2398599
25,2oMBZ,8/4qk2/p2Rb3/4Qp2/1P6/P4P1p/2K4P/8 w - - 3 41,d6a6 e6b3 c2b3 e7e5,962,74,100,264,crushing discoveredAttack endgame short,https://lichess.org/6t7IgdDj#81,,245893
26,ANYv6,4kr2/p1p3pp/1p1bB3/5NB1/4P1n1/2PP3b/PP6/R6K b - - 9 23,h7h6 f5g7,963,74,98,283,mate mateIn1 middlegame oneMove,https://lichess.org/9zZRL097/black#46,,908528
27,1JA3J,r2qk1nr/p1pb1ppp/4p3/8/QbBn1B2/2N1PN2/1P3PPP/R3K2R w KQkq - 0 10,a4b4 d4c2 e1e2 c2b4,966,74,98,1394,crushing fork middlegame short,https://lichess.org/kM9Ezifn#19,Queens_Pawn_Game Queens_Pawn_Game_Chigorin_Variation,114507
28,GE7Z4,4r3/3bP2p/8/pp6/2p1k3/5R1P/P1N3PK/8 b - - 4 41,e8e7 f3e3 e4d5 e3e7,967,74,100,416,advantage endgame short skewer,https://lichess.org/BfgI6dt3/black#82,,1419411
29,OCImw,8/8/p3kppp/P3p3/2P1K1P1/1r5P/5P2/3R4 w - - 0 35,d1d8 f6f5 g4f5 g6f5,967,74,100,371,endgame mate mateIn2 rookEndgame short,https://lichess.org/2F8Yura4#69,,2115861
30,Hdl9P,r4rk1/pp1n1pbp/2p3p1/2Pp4/1P1n1BP1/P1N4P/3Q1P2/2R1R1K1 w - - 0 27,f4h6 d4f3 g1g2 f3d2,968,74,97,3557,advantage fork middlegame short,https://lichess.org/XBd0Nuli#53,,1542765
31,2GM16,Q7/p1p3k1/1p1p4/2P2rpq/3P4/P1P2p2/5P1K/1R5R w - - 4 31,h2g1 h5g4 g1f1 g4g2 f1e1 g2h1,969,74,98,4263,crushing endgame fork long,https://lichess.org/gDggV0eG#61,,198209
32,3IrJP,3r1rk1/p4ppp/4p3/1Q6/1n6/1B3R2/Pq4PP/3R3K w - - 0 22,b5b4 d8d1 b3d1 b2b4,969,74,98,3153,crushing middlegame short,https://lichess.org/NGrZjEYh#43,,289067
33,TCCDh,5k2/p1p3pQ/3p1q1p/1P1B2r1/P1P2n2/8/5PPP/4R1K1 b - - 0 27,f4d5 h7h8 f8f7 h8e8,969,74,97,3955,endgame mate mateIn2 short,https://lichess.org/fQvwYTWi/black#54,,2553505
34,63aPj,r2r4/p4kpp/1pN1p3/2b2pP1/P6P/1P2P3/2R3K1/5R2 b - - 4 34,d8d3 c6e5 f7e7 e5d3,970,74,98,1270,crushing endgame fork short,https://lichess.org/8ESe7mOK/black#68,,530326
35,XgOqH,1Q6/5ppk/p6p/2pP2n1/P1P1P2q/6N1/5Pb1/5RK1 w - - 1 29,g1g2 h4h3 g2g1 g5f3,970,74,98,3006,endgame mate mateIn2 short,https://lichess.org/r3MnaA8u#57,,2944457
36,xCjst,r3kb1r/pp2p1pp/2nq1n2/3pNb2/3P4/5N2/PP3PPP/R1BQKB1R w KQkq - 3 10,f1b5 d6b4 c1d2 b4b5,971,74,98,4242,advantage fork opening short,https://lichess.org/LUmBDzg2#19,Sicilian_Defense Sicilian_Defense_Alapin_Variation,5178718
37,Rs4AG,1Q6/R4pkp/4pqp1/2p5/2P1n3/1P6/5rPP/5RK1 w - - 0 31,f1f2 f6f2 g1h1 f2f1,971,74,100,209,endgame mate mateIn2 short,https://lichess.org/ACYzfMLC#61,,2437497
