,PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags,ID
0,msBB0,1r6/3k4/1P3p1p/1BK2p1P/4pP2/6P1/8/8 b - - 3 45,d7c8 c5c6 c8d8 b6b7,2100,76,99,250,advancedPawn crushing endgame master short,https://lichess.org/jpCmgcpY/black#90,,4274229
1,Bjt4T,2B5/7p/4nkp1/3p4/2p4P/1P1p1PP1/P4K2/8 w - - 0 38,c8e6 c4c3 e6d5 c3c2 f2e3 c2c1q,2100,75,100,116,advancedPawn bishopEndgame crushing endgame long promotion,https://lichess.org/pbYRR4vt#75,,1027355
2,oAAXK,1B6/6p1/7p/7P/6kP/3p1p2/3K4/8 w - - 4 45,d2d3 g4h3 b8a7 h3g2 a7d4 f3f2,2100,76,99,166,advancedPawn bishopEndgame crushing endgame long,https://lichess.org/O6BxPras#89,,4387226
3,3Jcrq,r1bk2r1/pp3p2/8/2bpQ3/8/2NB1qP1/PPP2P1P/R3R1K1 w - - 5 20,d3e2 c5f2 g1f1 c8h3,2100,75,98,977,fork mate mateIn2 middlegame short,https://lichess.org/JxWA4h3d#39,,290095
4,rFY12,2r1r1k1/1b1q1pp1/p4n1p/1p3N2/1QpN4/P3P3/1P3PPP/2R2RK1 w - - 0 23,f5d6 f6d5 d6e8 d5b4 e8f6 g7f6,2100,75,100,153,advantage long middlegame trappedPiece,https://lichess.org/dJVdIHSM#45,,4657218
5,yfHLB,8/5R2/6p1/7p/r4PkP/8/5K2/8 w - - 9 50,f7g7 a4f4 f2g2 f4f6 g7b7 g4h4 b7b4 h4g5,2100,75,99,269,crushing endgame quietMove rookEndgame veryLong,https://lichess.org/WtdZBv6H#99,,5306821
6,6ENfD,r5rk/pp1b1p1p/4qp2/3p4/7Q/5N2/P4PPP/3R1BK1 b - - 12 27,e6f5 f1d3 g8g2 g1g2 a8g8 g2f1,2100,75,100,168,advantage defensiveMove long middlegame,https://lichess.org/5h9LeU7t/black#54,,545668
7,qrMDX,8/8/1p2ppp1/1Pk5/2P2P2/3K2Pp/7P/8 w - - 0 52,d3c3 e6e5 f4e5 f6e5 c3d3 e5e4,2100,76,98,90,crushing endgame long pawnEndgame,https://lichess.org/ZWke7XRS#103,,4622830
8,Amhsn,8/6R1/p1p1k3/1p6/4P3/4K2P/8/3r4 b - - 0 36,d1d7 g7d7 e6d7 h3h4 b5b4 h4h5,2100,75,100,297,crushing defensiveMove endgame long quietMove rookEndgame,https://lichess.org/wVpGeb5w/black#72,,943772
9,Ojv9W,7k/R7/1p5p/p1n2Bb1/P1P4P/1P6/3p4/4r1RK w - - 1 43,f5g4 g5e3 a7a8 h8g7,2100,76,99,159,crushing endgame short,https://lichess.org/3gPWOMQz#85,,2163622
10,naelj,7k/5p1p/p2P1prq/7r/1P1QP3/P1N3P1/2P2RKP/8 w - - 5 34,d4b6 h5h2 g2f3 h6h5 f3e3 g6g3,2100,76,99,970,crushing deflection endgame long,https://lichess.org/KPiQt56E#67,,4337083
11,tKmhv,2n3k1/5q1p/p1p3p1/Pp1pBpQn/1P1P3P/2PB1P2/6PK/8 b - - 8 38,f7e7 d3f5 e7g5 f5e6 g8f8 h4g5,2100,76,99,200,crushing endgame fork intermezzo long pin sacrifice,https://lichess.org/F0Vwu4At/black#76,,4840317
12,nnkyq,5r1k/pR4p1/4p1p1/4p3/2P1N1Q1/7P/P2r1qPK/8 b - - 4 28,f2e2 g4g6 e2g2 g6g2 d2g2 h2g2,2100,75,99,271,crushing endgame long,https://lichess.org/jEB5Uf2M/black#56,,4355663
13,ikDsB,8/2p3rp/2p5/1k4P1/1PR2K1P/8/2R5/5r2 w - - 1 41,f4e5 g7e7 e5d4 f1f4 d4d3 e7d7 d3e3 f4c4,2100,76,99,311,crushing deflection endgame rookEndgame veryLong,https://lichess.org/kDAdjH3f#81,,3912205
14,9II0f,8/8/5k2/5p2/7K/7P/8/8 w - - 1 59,h4h5 f6e5 h5g5 f5f4 g5g4 e5e4 h3h4 f4f3 g4g3 e4e3,2100,75,99,414,crushing defensiveMove endgame pawnEndgame quietMove veryLong,https://lichess.org/QiYW8b8U#117,,813585
15,Sts97,rnbq1rk1/ppppb1pp/8/3Pp2Q/2P1N3/3B4/PP3PPP/R3K1NR b KQ - 4 10,d8e8 e4f6 f8f6 h5e8,2100,76,99,280,crushing deflection kingsideAttack opening short,https://lichess.org/YYRywrAk/black#20,Dutch_Defense Dutch_Defense_Queens_Knight_Variation,2527811
16,o07dS,r6r/pp1k1p2/2pqbQpp/8/2p5/1B4P1/PP3P1P/3RR1K1 b - - 1 22,e6d5 d1d5 c6d5 b3a4 b7b5 a4b5,2100,75,98,302,crushing long middlegame pin sacrifice,https://lichess.org/aTuFEYLh/black#44,,4373022
17,oh98f,r1b4r/ppk2p1p/2pR1qp1/4nN2/2P1PQ2/5B2/P4PPP/R5K1 b - - 1 25,e5f3 g2f3 f6a1 d6d1,2100,76,100,126,crushing discoveredAttack middlegame sacrifice short,https://lichess.org/t8EtFk8j/black#50,,4433489
18,utrzT,3r4/1p2R2p/5pp1/1P1p1k2/R4n2/5PQ1/2r2K1P/5N2 w - - 11 39,f2e3 d5d4 a4d4 c2e2,2100,75,98,236,mate mateIn2 middlegame short,https://lichess.org/tS1AI513#77,,4977255
19,LYdYe,5r2/p3kp1Q/1pb3pN/2p4n/2P1P3/1P1q2PP/P4PB1/4R1K1 w - - 1 31,h6g4 d3c3 e1d1 f8h8 h7h8 c3h8,2100,75,100,72,advantage long middlegame trappedPiece,https://lichess.org/4W7Z1oY8#61,,1884981
20,8kgzt,5r1k/1b2q1p1/2p1p2p/p1p1P3/3Q4/BP1P3R/P1P3PP/5K2 w - - 1 25,f1g1 e7f7 h3f3 c5d4 f3f7 f8f7,2100,74,98,278,advantage endgame long quietMove,https://lichess.org/vBPiNK58#49,,765758
21,S4Ori,8/pp5p/6p1/n1k5/2P1pPP1/2K1N3/P1P5/8 b - - 0 31,h7h5 f4f5 g6f5 g4h5,2100,76,100,118,advantage deflection endgame knightEndgame master short,https://lichess.org/nPq34Fpc/black#62,,2454899
22,7Sj5K,8/6pk/2Q4p/5p2/3PpKPq/R3P2P/P7/7r w - - 0 41,f4f5 h1f1 f5e4 h4e7 e4d5 e7a3,2100,75,100,115,crushing endgame fork long,https://lichess.org/VOxQEegf#81,,653217
23,bOOeY,8/8/8/4k2p/4p2P/4K1P1/8/8 w - - 2 81,g3g4 h5g4 h4h5 g4g3 h5h6 e5f6 h6h7 f6g7 h7h8q g7h8,2100,75,99,382,crushing endgame pawnEndgame veryLong,https://lichess.org/ytXXI8Oi#161,,3268933
24,0uY2Z,8/8/8/p3BK2/6p1/5k2/8/8 w - - 0 56,f5e6 a5a4 e5d6 g4g3 e6e5 g3g2,2100,75,98,366,advancedPawn bishopEndgame crushing endgame long quietMove,https://lichess.org/vwZhkeEe#111,,79414
25,yIrDk,3r2k1/pb3p1p/1p4p1/2pPr3/P1B1q3/1Q2P2P/5PP1/2RR2K1 b - - 0 22,b7d5 f2f3 e4e3 b3e3,2100,75,98,280,advantage middlegame short,https://lichess.org/e707sIzb/black#44,,5275119
26,umP9H,3r2k1/1R3pn1/2p2Q1p/1pPq2p1/1P3p2/5P1P/5BP1/6K1 b - - 5 39,d8d7 b7d7 d5d7 f2d4 d7d4 f6d4,2101,75,98,214,crushing endgame long quietMove,https://lichess.org/9iEsv37u/black#78,,4966888
27,Th3HE,2k5/ppp5/5P2/8/P1Bnq3/2Q2pP1/1P6/4RRKr w - - 2 28,g1f2 h1h2 f2g1 h2g2 g1h1 e4h7,2101,76,99,492,long mate mateIn3 middlegame,https://lichess.org/Pw3MpEYv#55,,2597146
28,i7ezC,8/8/4RP2/6p1/4bkP1/5r2/4K3/8 b - - 0 62,f4g4 e6e4 g4g3 e4e3 g5g4 e3f3 g4f3 e2f1,2101,76,99,392,crushing defensiveMove endgame hangingPiece pin veryLong,https://lichess.org/5VMkSQMQ/black#124,,3857883
29,vDPUR,8/7q/2p2k2/pp3pR1/3PrP2/P1P2Q2/1P4P1/1K6 w - - 3 33,g2g4 f5g4 f3g4 e4f4,2101,75,99,290,advantage discoveredAttack endgame master short,https://lichess.org/glRRgT7y#65,,5004915
30,su3EH,2rk4/3P3n/3NP1p1/4K3/7P/P4p2/8/8 b - - 2 49,c8c5 e5d4 c5f5 d6b7 d8c7 d7d8q,2101,74,98,278,advancedPawn crushing defensiveMove endgame exposedKing long promotion,https://lichess.org/4SWTG8AB/black#98,,4802252
31,1jU4E,8/8/8/1P3Pbp/k1K5/8/7P/8 b - - 0 47,g5d8 c4c5 a4a5 c5c6 d8f6 b5b6,2101,76,99,233,bishopEndgame crushing endgame long zugzwang,https://lichess.org/ta4a4z5O/black#94,,151582
32,ssJ5v,1k6/2p5/p2p2p1/1p1P1b2/3N1Pq1/P7/KPPQ4/8 b - - 9 36,f5e4 d4c6 b8c8 d2d4 e4d5 d4d5,2101,75,100,77,advantage clearance endgame long,https://lichess.org/YTFwDoXL/black#72,,4799775
33,svTQ4,2b3k1/8/8/P2pP3/5P1p/2pB1P2/8/3K4 w - - 0 39,d3f1 h4h3 f1h3 c8h3 d1c2 d5d4,2101,75,100,473,bishopEndgame crushing defensiveMove endgame long,https://lichess.org/xYGRqXqb#77,,4804209
34,hZdSx,5r2/3b2k1/2pp4/p3p3/4P1pN/1P1BR1P1/1rPK2P1/8 b - - 5 41,f8f2 d2c1 b2a2 c1b1 a2c2 d3c2,2101,75,98,737,advantage defensiveMove endgame long,https://lichess.org/6ED3WoRm/black#82,,3809212
35,Grdb7,8/8/1b1p4/3P2k1/1PKpPppp/N4P2/6PP/8 w - - 2 47,a3c2 h4h3 g2h3 g4f3 c2e1 f3f2,2101,76,98,622,advancedPawn advantage deflection endgame long,https://lichess.org/Um71Kfd5#93,,1475266
36,oZAiq,1k6/1pb2p2/p7/3qPB2/P6P/1KQ2P2/1P1r4/2R5 w - - 1 37,b3a3 c7e5 c3c8 b8a7 c8c5 d5c5 c1c5 e5d6,2101,76,98,380,advantage endgame pin veryLong,https://lichess.org/qNiVMuqO#73,,4422402
37,9dBoX,1R6/1Q3pkp/2p1rbp1/3p4/3P4/3BPP2/3q1PKP/8 w - - 2 26,b7c8 f6h4 c8f8 g7f6 g2h3 d2f2,2101,76,98,654,crushing endgame long master,https://lichess.org/a4BppDJt#51,,843090
38,FQZro,1r1r1k2/2q1b3/p1b1pnQ1/n1p5/2P4P/P3PN2/1B1NBP2/2K3R1 b - - 0 24,b8b2 f3g5 b2c2 c1c2 d8d2 c2d2,2101,75,99,149,crushing long middlegame,https://lichess.org/gQ2s3mFK/black#48,,1349280
39,YBJoC,5rk1/2r2p2/3p2pb/3Pp1Np/1Nq1P1bP/P7/1P1Q1RP1/1K3R2 w - - 6 26,f1c1 c4c1 d2c1 c7c1 b1c1 f7f6,2101,76,98,132,advantage long middlegame queensideAttack,https://lichess.org/byL98tjt#51,,2988249
40,mBn4X,6k1/5p2/6p1/pQp4p/1qP4P/1P2P1P1/5PK1/8 w - - 3 38,b5b4 c5b4 c4c5 g8f8,2101,76,98,850,crushing defensiveMove endgame short,https://lichess.org/d9e3UFoH#75,,4214737
41,xoA4m,r1b1k1r1/pp3pq1/2B5/3Q4/7b/5N2/PPP2PP1/2KR4 b q - 0 17,e8f8 d5c5 h4e7 d1d8,2101,76,98,317,clearance mate mateIn2 middlegame pin short,https://lichess.org/xJVcRmIp/black#34,French_Defense French_Defense_McCutcheon_Variation,5231691
42,YCDxQ,3r2k1/ppb3pp/5n2/1QP2bp1/1P1n4/P2p2P1/5P1P/3RR1K1 w - - 2 25,b5b7 d4e2 g1g2 f5e4 b7e4 f6e4,2101,74,99,520,advantage fork long middlegame,https://lichess.org/UA3NE3Rn#49,,2989498
43,scg6E,r1q1r1k1/pp1n1p2/6p1/7p/3p3P/6P1/PP1QPP1N/RN2K2R w KQ - 0 19,d2d4 c8c1 d4d1 e8e2 e1e2 a8e8 e2f1 c1d1,2101,76,98,501,attraction crushing deflection interference middlegame pin sacrifice veryLong,https://lichess.org/UGbsVXTj#37,,4777426
44,nP0CG,6k1/3p2p1/3Nr1q1/2P1rp1p/1P1QP2P/p4PP1/P5K1/4R3 w - - 0 35,e4f5 e5e1 f5g6 e6e2,2101,76,100,201,advantage endgame master sacrifice short,https://lichess.org/u4F75wxR#69,,4320629
45,O1yQi,r2q1r1k/4b1Rp/3pQ3/p3p3/1p2P3/4pP2/PPP4P/1K4R1 b - - 1 23,e7f6 g7h7 h8h7 e6f5 h7h8 f5h5,2101,75,98,823,attraction kingsideAttack long mate mateIn3 middlegame sacrifice,https://lichess.org/9taZlklw/black#46,,2101362
46,JdtRf,5rk1/pp2n1pp/3b1q2/3p4/2pPn3/2P1BP1Q/PPB3PP/R5K1 b - - 0 22,e4g5 e3g5 f6g5 h3e6 g8h8 e6d6,2101,75,99,130,advantage fork long middlegame,https://lichess.org/qZjPzJI3/black#44,,1718125
47,VaOhv,8/8/8/5p2/4p1k1/4K1p1/8/R7 w - - 0 61,a1f1 g3g2 f1a1 g4g3,2101,75,98,493,advancedPawn crushing defensiveMove endgame master rookEndgame short,https://lichess.org/SVBAJWfK#121,,2761798
48,6PTzo,7k/1p1r2p1/p3q2p/5B2/5Qn1/P4N2/1PP2bPP/5RK1 w - - 0 25,f1f2 d7d1 f2f1 e6b6 f3d4 d1d4 f4b8 d4d8,2101,76,100,284,crushing discoveredAttack middlegame veryLong,https://lichess.org/W5FtSUuC#49,,561235
49,cAMBT,5r1r/ppp1k3/4p3/3pn3/6Pn/1PN1P1QP/P1qPB2K/R6R w - - 0 24,g3e5 f8f2 h2g1 f2g2 g1f1 h8f8 f1e1 h4f3,2101,76,100,87,crushing middlegame veryLong,https://lichess.org/1vfhCwNh#47,,3336761
50,2QYvh,2r2bk1/2q4p/4p1p1/1p1p1pQ1/3B1P2/1P1PP2P/6P1/R5K1 b - - 1 26,f8c5 a1c1 c5e7 c1c7,2102,76,99,213,crushing endgame short,https://lichess.org/iuzulx7M/black#52,,212443
51,gUv3m,2r1k3/2qb1p2/4p3/8/2n1P2Q/1N6/P1P4R/1K1R4 w - - 11 35,h2g2 c4a3 b1b2 c7c3 b2c1 c3c2 g2c2 c8c2,2102,76,98,1298,master mate mateIn4 middlegame sacrifice veryLong,https://lichess.org/2sOpH8K4#69,,3715399
